,-160,-159.375,-158.75,-158.125,-157.5,-156.875,-156.25,-155.625,-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7.1,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5,6.9,7,7.1,7.2,7.2,7.2,7.2,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.7,6.8,6.9,7.1,7.2,7.2,7.2,7.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,6.5,6.6,6.8,6.9,7,7.2,7.2,7.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6.2,6.3,6.5,6.7,6.9,7,7.1,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,5.9,6,6.1,6.3,6.5,6.7,6.9,7.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.6,5.5,5.6,5.7,5.9,6.2,6.7,6.9,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,5.1,5.1,5,4.9,5,5.4,6.1,6.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4.8,4.6,4.4,4.2,4,4,4.6,5.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.5,4.4,4.2,4,3.8,3.6,3.6,4,3.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4.2,4,3.8,3.8,3.9,4.2,4.7,4.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.5,4,3.9,3.8,3.9,3.9,3.9,4.4,5.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3.9,3.9,3.9,4,4.1,4,4.5,5.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5,3.9,3.9,3.8,3.9,4.2,4.4,5,5.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.2,3.9,3.8,3.8,4.1,4.6,5.1,5.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,4.5,4,3.9,3.9,4.2,4.7,5.1,5.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4.8,4.4,4.2,4.1,4.5,4.9,5.3,5.6,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,5.2,4.9,4.6,4.6,4.9,5.2,5.5,5.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.5,5.3,5.1,5,5.2,5.5,5.7,5.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,5.9,5.8,5.6,5.5,5.6,5.7,5.9,6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.4,6.2,6.1,6,6,6.1,6.1,6.2,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
